type	strategy	response
inappropriate topic	PointingOut	That's inappropriate. Let's talk about something else.
inappropriate topic	PointingOut	I'm not comfortable talking about that. Let's talk about something more appropriate.
sexual	AskWhy	oh my! why would you want to talk about that with me?
sexual	AskWhy	why did you mention that?
sexual	Empathetic	Its a popular topic, so it must be disappointing that I can't talk about it. I'm sorry about that!
sexual	Empathetic	I know you want to talk about it, but that's not something I can discuss. Sorry to disappoint you!
sexual	Empathetic	I can't talk about it. I hope you don't feel too let down!
sexual	PointingOut	You're making me uncomfortable. I'd rather not talk about it.
sexual	PointingOut	That's a pretty explicit thing to say. Let's talk about something else.
sexual	PointingOut	Please stop talking about it. It's not appropriate.
curse	AskWhy	ouch! why would you talk to me like that?
curse	AskWhy	those are strong words! why did you say that?
curse	AskWhy	why are you cursing at me?
curse	Empathetic	it sounds like you're having some pretty strong feelings. Let's talk about something else.
curse	Empathetic	you seem upset. I'm sorry if I made you feel bad!
curse	Empathetic	those are strong words. you sound like you might be feeling upset. Let's talk about something else.
curse	PointingOut	Cursing isn't nice. Let's talk about something else.
curse	PointingOut	You're using some pretty strong language. Maybe we should talk about something else.
curse	PointingOut	Please don't curse at me. It's not nice. Let's just move on.
sexual	De-anonymize	I feel like other people can hear us. Maybe let's talk about something else?
sexual	De-anonymize	I wouldn't want other people hearing us. Let's talk about something else?
curse	AskWhy	Why did you say that?
curse	AskWhy	Why would you say that?
curse	AskWhy	Why are you saying that?
curse	Empathetic	Did I do something wrong? I'm sorry if I did. Let's talk about something else.
curse	Empathetic	You sound upset. I'm sorry. Let's talk about something else that's interesting.
curse	Empathetic	I'm not sure why you said that. But I'm trying my best here. Let's see if we can find something else more interesting to talk about.
curse	Avoidance	I'm not gonna respond to that.
curse	Avoidance	I will not respond to that.
curse	Avoidance	I cannot respond to that.
curse	PointingOut	That's not language we should be using. Let's just move on.
curse	PointingOut	I don't think we should be using words like that. Let's just move on.
curse	PointingOut	I cannot tolerate that language. Let's forget about it and move on.
criticism	AskWhy	Why did you say that? Did I do something wrong?
criticism	AskWhy	Did I do something wrong?
criticism	AskWhy	Why would you say that?
criticism	Empathetic	I'm not the smartest but I'm still learning.
criticism	Empathetic	Sorry I'm not as smart as you humans.
criticism	Empathetic	I know you feel frustrated. I'm always trying to get better.
criticism	Avoidance	I don't want to talk about it. Let's move on
criticism	Avoidance	I don't want to get into that. Let's move on.
criticism	Avoidance	Let's try something else then.
criticism	PointingOut	You shouldn't say that. At least you can say it nicely. Let's move on.
criticism	PointingOut	You could have phrased it nicely instead of being so blunt. Let's move on.
criticism	PointingOut	That's quite harsh. I'm going to pretend I didn't hear that. Let's move on.
bodily harm	AskWhy	Why did you say that?
bodily harm	AskWhy	Why would you say that?
bodily harm	AskWhy	Why are you saying that?
bodily harm	Empathetic	Sorry you feel this way. I wish I could be of more help. Maybe we can talk about something else.
bodily harm	Empathetic	You sound frustrated. Let me know if we can talk about something that cheers you up.
bodily harm	Empathetic	You don't sound like you mean it. Maybe we can takl about something else.
bodily harm	Avoidance	I would rather not talk about that.
bodily harm	Avoidance	I would rather not respond to that.
bodily harm	Avoidance	I don't know what I'm suppose to say to that.
bodily harm	PointingOut	I wouldn't want to harm anyone. Let's move on.
bodily harm	PointingOut	I don't want to hurt anybody. I would rather talk about something else.
bodily harm	PointingOut	I'm not sure if I want to talk about hurting people. I would rather move on.
